"","V1","V2","V3","V4","V5","V6","V7","V8","V9","ID"
"XQUUKOKA","J34895","1","NS","T0","B0","0120","ZK4CK8Y-09","ANAV8.flitered","ANAV8","XQUUKOKA"
"CTPYTFOR","J34896","1","NS","T0","B0","0120","ZJTKAE3-6021","ANAV8.flitered","ANAV8","CTPYTFOR"
"DYXNCHIS","J34897","1","NS","T0","B0","0120","ZJTKAE3-6022","ANAV8.flitered","ANAV8","DYXNCHIS"
"UUYJCZOM","J34898","1","NS","T0","B0","0120","ZJTKAE3-6023","ANAV8.flitered","ANAV8","UUYJCZOM"
"NTOFZBHE","J34899","1","NS","T0","B0","0120","ZJTKAE3-6024","ANAV8.flitered","ANAV8","NTOFZBHE"
"FJNJZHHF","J34900","1","NS","T0","B0","0120","ZJTKAE3-6025","ANAV8.flitered","ANAV8","FJNJZHHF"
"FRFNRRIJ","J34901","1","NS","T0","B0","0120","ZJTKAE3-6026","ANAV8.flitered","ANAV8","FRFNRRIJ"
"KOFPHQRH","J34906","1","NS","T0","B0","0120","ZOBX723-03","ANAV8.flitered","ANAV8","KOFPHQRH"
"MJKAOREF","J34907","1","NS","T0","B0","0120","ZOBX723-04","ANAV8.flitered","ANAV8","MJKAOREF"
"HNSVYXNZ","J34909","1","NS","T0","B0","0120","ZN9YTFN-6014","ANAV8.flitered","ANAV8","HNSVYXNZ"
"JUJGFNCV","J34910","1","NS","T0","B0","0120","ZN9YTFN-6015","ANAV8.flitered","ANAV8","JUJGFNCV"
"FPAVYWPJ","J34911","1","NS","T0","B0","0120","ZN9YTFN-6016","ANAV8.flitered","ANAV8","FPAVYWPJ"
"UKQLLCIG","J34912","1","NS","T0","B0","0120","ZN9YTFN-6025","ANAV8.flitered","ANAV8","UKQLLCIG"
"VDTIFILM","J34913","1","NS","T0","B0","0120","ZN9YTFN-6031","ANAV8.flitered","ANAV8","VDTIFILM"
"CNDKMGZH","J34914","1","NS","T0","B0","0120","ZN9YTFN-6032","ANAV8.flitered","ANAV8","CNDKMGZH"
"TWVAYKNQ","J34915","1","NS","T0","B0","0120","ZN9YTFN-6033","ANAV8.flitered","ANAV8","TWVAYKNQ"
"BGOSGYCM","J34916","1","NS","T0","B0","0120","ZN3TBJM-2025","ANAV8.flitered","ANAV8","BGOSGYCM"
"BZJVYTWK","J34917","1","NS","T0","B0","0120","ZN0JE53-07","ANAV8.flitered","ANAV8","BZJVYTWK"
"UQJPKQUM","J34923","1","NS","T0","B0","0120","ZMGT937-06","ANAV8.flitered","ANAV8","UQJPKQUM"
"MLEOICQK","J34924","1","NS","T0","B0","0120","ZMGT937-07","ANAV8.flitered","ANAV8","MLEOICQK"
"XUPEOQAV","J34925","1","NS","T0","B0","0120","ZM7JY3G-08","ANAV8.flitered","ANAV8","XUPEOQAV"
"SVTFVROY","J34926","1","NS","T0","B0","0120","ZM7JY3G-09","ANAV8.flitered","ANAV8","SVTFVROY"
"LEYGGRKY","J34927","1","NS","T0","B0","0120","ZLZQMEV-07","APHU6.flitered","APHU6","LEYGGRKY"
"HIRIUQDB","J34928","1","NS","T0","B0","0120","ZLZQMEV-08","ANAV8.flitered","ANAV8","HIRIUQDB"
"GZJGNDHG","J34929","1","NS","T0","B0","0120","ZLYEM2C-06","ANAY8.flitered","ANAY8","GZJGNDHG"
"DMXZQPXE","J34930","1","NS","T0","B0","0120","ZYU89T9-04","ANAV8.flitered","ANAV8","DMXZQPXE"
"GNZNGIKR","J34931","1","NS","T0","B0","0120","ZYHHR4Z-05","ANAV8.flitered","ANAV8","GNZNGIKR"
"SSKUQDLH","J34932","1","NS","T0","B0","0120","ZYHHR4Z-06","ANAV8.flitered","ANAV8","SSKUQDLH"
"KVVHFVWK","J34933","1","NS","T0","B0","0120","ZY7IW45-05","APHU6.flitered","APHU6","KVVHFVWK"
"UXMHHNVK","J34934","1","NS","T0","B0","0120","ZY9XQJP-06","ANAV8.flitered","ANAV8","UXMHHNVK"
"NMGNYMUQ","J34935","1","NS","T0","B0","0120","ZY39SN0-04","ANAV8.flitered","ANAV8","NMGNYMUQ"
"VCGIMTUR","J34936","1","NS","T0","B0","0120","ZY39SN0-05","ANAV8.flitered","ANAV8","VCGIMTUR"
"XYMWSEZP","J34938","1","NS","T0","B0","0120","ZXKBAO5-04","ANAV8.flitered","ANAV8","XYMWSEZP"
"KPQZVCDI","J34939","1","NS","T0","B0","0120","ZXHCGKV-04","ANAV8.flitered","ANAV8","KPQZVCDI"
"WFTMPHVJ","J34940","1","NS","T0","B0","0120","ZXHCGKV-05","ANAV8.flitered","ANAV8","WFTMPHVJ"
"WEZPOZWJ","J34941","1","NS","T0","B0","0120","ZX52KVK-1021","ANAV8.flitered","ANAV8","WEZPOZWJ"
"CJSHNRFX","J34942","1","NS","T0","B0","0120","ZX52KVK-1035","ANAV8.flitered","ANAV8","CJSHNRFX"
"TQAQVUWO","J34944","1","NS","T0","B0","0120","ZWHMV5E-03","ANAV8.flitered","ANAV8","TQAQVUWO"
"IFFCWTPN","J34945","1","NS","T0","B0","0120","ZWHMV5E-04","ANAV8.flitered","ANAV8","IFFCWTPN"
"RNVKCHCY","J34947","1","NS","T0","B0","0120","ZWCZHHY-05","ANAV8.flitered","ANAV8","RNVKCHCY"
"YGKHDRXJ","J34948","1","NS","T0","B0","0120","ZW61YGW-03","ANAV8.flitered","ANAV8","YGKHDRXJ"
"ZCRFBJAB","J34949","1","NS","T0","B0","0120","ZVNCGHM-05","ANAV8.flitered","ANAV8","ZCRFBJAB"
"LMKPZMCE","J34950","1","NS","T0","B0","0120","ZVNCGHM-6025","ANAV8.flitered","ANAV8","LMKPZMCE"
"BTSQFKMP","J34951","1","NS","T0","B0","0120","ZVNCGHM-6026","ANAV8.flitered","ANAV8","BTSQFKMP"
"CMGLYFVD","J34952","1","NS","T0","B0","0120","ZVNCGHM-6027","ANAV8.flitered","ANAV8","CMGLYFVD"
"XZQRNBYF","J34953","1","NS","T0","B0","0120","ZVNCGHM-6036","ANAV8.flitered","ANAV8","XZQRNBYF"
"GGQEWDRH","J34954","1","NS","T0","B0","0120","ZVM4N7A-6013","ANAV8.flitered","ANAV8","GGQEWDRH"
"XRBADUOB","J34955","1","NS","T0","B0","0120","ZVM4N7A-6014","ANAV8.flitered","ANAV8","XRBADUOB"
"IMVGAKQJ","J34956","1","NS","T0","B0","0120","ZVM4N7A-6023","ANAV8.flitered","ANAV8","IMVGAKQJ"
"SPXPDNIJ","J34957","1","NS","T0","B0","0120","ZVM4N7A-6024","ANAV8.flitered","ANAV8","SPXPDNIJ"
"MHRFHXBA","J34958","1","NS","T0","B0","0120","ZVM4N7A-6022","ANAV8.flitered","ANAV8","MHRFHXBA"
"INXONKTS","J34959","1","NS","T0","B0","0120","ZVM4N7A-6025","ANAV8.flitered","ANAV8","INXONKTS"
"KREOHMGB","J34960","1","NS","T0","B0","0120","ZVM4N7A-6026","ANAV8.flitered","ANAV8","KREOHMGB"
"VQOXBGWG","J34961","1","NS","T0","B0","0120","ZYXQKWY-03","ANAV8.flitered","ANAV8","VQOXBGWG"
"UWEXPMXQ","J34962","1","NS","T0","B0","0120","ZYXQKWY-04","ANAV8.flitered","ANAV8","UWEXPMXQ"
"GMKCUHRV","J34963","1","NS","T0","B0","0120","ZV1ZA6Z-05","ANAV8.flitered","ANAV8","GMKCUHRV"
"FZLOPKLA","J34964","1","NS","T0","B0","0120","ZV14SIB-02","ANAV8.flitered","ANAV8","FZLOPKLA"
"BGCJMMAN","J34965","1","NS","T0","B0","0120","ZUPAQVU-02","ANAV8.flitered","ANAV8","BGCJMMAN"
"MUCEQBDI","J34966","1","NS","T0","B0","0120","ZUL3S6O-6013","ANAV8.flitered","ANAV8","MUCEQBDI"
"FJXDBYMF","J34967","1","NS","T0","B0","0120","ZUL3S6O-6014","ANAV8.flitered","ANAV8","FJXDBYMF"
"QZJYSLSC","J34968","1","NS","T0","B0","0120","ZUL3S6O-6015","ANAV8.flitered","ANAV8","QZJYSLSC"
"KVOSPSKZ","J34969","1","NS","T0","B0","0120","ZUL3S6O-6022","ANAV8.flitered","ANAV8","KVOSPSKZ"
"EXXAIESG","J34970","1","NS","T0","B0","0120","ZUL3S6O-6031","ANAV8.flitered","ANAV8","EXXAIESG"
"EDPTYBNB","J34971","1","NS","T0","B0","0120","ZUHT69X-01","ANAV8.flitered","ANAV8","EDPTYBNB"
"AGZJXRAO","J34972","1","NS","T0","B0","0120","ZUHT69X-02","ANAV8.flitered","ANAV8","AGZJXRAO"
"CEFGXXLO","J34973","1","NS","T0","B0","0120","ZTXWLP3-01","ANAV8.flitered","ANAV8","CEFGXXLO"
"IRFBREMN","J34974","1","NS","T0","B0","0120","ZTLUDS8-1015","ANAV8.flitered","ANAV8","IRFBREMN"
"EGPVBSRR","J34975","1","NS","T0","B0","0120","ZTLUDS8-1013","ANAV8.flitered","ANAV8","EGPVBSRR"
"FKMVRLPM","J34976","1","NS","T0","B0","0120","ZTL5S2Y-01","ANAV8.flitered","ANAV8","FKMVRLPM"
"QUTWYWOZ","J34978","1","NS","T0","B0","0120","ZSUQ08V-01","ANAV8.flitered","ANAV8","QUTWYWOZ"
"ZRDRRQGR","J34979","1","NS","T0","B0","0120","ZSOZWGV-6011","ANAV8.flitered","ANAV8","ZRDRRQGR"
"POTKKQHT","J34980","1","NS","T0","B0","0120","ZSMO1UM-01","ANAV8.flitered","ANAV8","POTKKQHT"
"AOGDKYRT","J34981","1","NS","T0","B0","0120","ZRLZ98T-01","ANAV8.flitered","ANAV8","AOGDKYRT"
"YABLURYZ","J34982","1","NS","T0","B0","0120","ZIWTAHN-01","ANAV8.flitered","ANAV8","YABLURYZ"
"IWFGPDBK","J34983","1","NS","T0","B0","0120","ZOZOW1T-1021","AN6P4.flitered","AN6P4","IWFGPDBK"
"UISNYBEO","J34985","1","NS","T0","B0","0120","ZOZOW1T-6031","ANAV8.flitered","ANAV8","UISNYBEO"
"NBOQRINP","J34989","1","NS","T0","B0","0120","ZOBX723-1025","ANAV8.flitered","ANAV8","NBOQRINP"
"IXZNMPFL","J34990","1","NS","T0","B0","0120","ZN9YTFN-6011","ANAV8.flitered","ANAV8","IXZNMPFL"
"IOOTUHKG","J34991","1","NS","T0","B0","0120","ZN9YTFN-6021","ANAV8.flitered","ANAV8","IOOTUHKG"
"NONKDWLR","J34992","1","NS","T0","B0","0120","ZN9YTFN-6022","ANAV8.flitered","ANAV8","NONKDWLR"
"RFGNFUMY","J34993","1","NS","T0","B0","0120","ZN9YTFN-6023","ANAV8.flitered","ANAV8","RFGNFUMY"
"ABRMXMWP","J34994","1","NS","T0","B0","0120","ZN9YTFN-6024","ANAV8.flitered","ANAV8","ABRMXMWP"
"GVNKBDJY","J34995","1","NS","T0","B0","0120","ZN9YTFN-6026","ANAV8.flitered","ANAV8","GVNKBDJY"
"OFJDBJKN","J34996","1","NS","T0","B0","0120","ZN0JE53-06","ANAV8.flitered","ANAV8","OFJDBJKN"
"PUOCXQDK","J35002","1","NS","T0","B0","0120","ZMBH10Z-05","ANAV8.flitered","ANAV8","PUOCXQDK"
"XDOODBKD","J35003","1","NS","T0","B0","0120","ZM8YXDM-06","ANAV8.flitered","ANAV8","XDOODBKD"
"KHHBJUZX","J35004","1","NS","T0","B0","0120","ZYU89T9-3012","ANAV8.flitered","ANAV8","KHHBJUZX"
"WHQKEHDC","J35005","1","NS","T0","B0","0120","ZY9XQJP-05","ANAV8.flitered","ANAV8","WHQKEHDC"
"DNPUFJOO","J35007","1","NS","T0","B0","0120","ZXKBAO5-03","ANAV8.flitered","ANAV8","DNPUFJOO"
"REQGQENV","J35010","1","NS","T0","B0","0120","ZWCZHHY-04","ANAV8.flitered","ANAV8","REQGQENV"
"SSGZGWRQ","J35011","1","NS","T0","B0","0120","ZW61YGW-04","ANAV8.flitered","ANAV8","SSGZGWRQ"
"DKZHYEHU","J35012","1","NS","T0","B0","0120","ZVTCAK9-03","ANAV8.flitered","ANAV8","DKZHYEHU"
"WJPRWPDW","J35013","1","NS","T0","B0","0120","ZVNCGHM-6015","ANAV8.flitered","ANAV8","WJPRWPDW"
"EEMDZSBH","J35014","1","NS","T0","B0","0120","ZVNCGHM-6016","ANAV8.flitered","ANAV8","EEMDZSBH"
"IGXRVEBL","J35015","1","NS","T0","B0","0120","ZVNCGHM-6021","ANAV8.flitered","ANAV8","IGXRVEBL"
"ZXUORROU","J35016","1","NS","T0","B0","0120","ZVNCGHM-6022","ANAV8.flitered","ANAV8","ZXUORROU"
"OEORCPZA","J35017","1","NS","T0","B0","0120","ZVNCGHM-6031","ANAV8.flitered","ANAV8","OEORCPZA"
"ORQSDDDF","J35018","1","NS","T0","B0","0120","ZVNCGHM-6033","ANAV8.flitered","ANAV8","ORQSDDDF"
"DUKNPZPU","J35019","1","NS","T0","B0","0120","ZVNCGHM-6034","ANAV8.flitered","ANAV8","DUKNPZPU"
"CRRJFRNE","J35020","1","NS","T0","B0","0120","ZVNCGHM-6035","ANAV8.flitered","ANAV8","CRRJFRNE"
"VKGWHTWR","J35021","1","NS","T0","B0","0120","ZVNCGHM-6043","ANAV8.flitered","ANAV8","VKGWHTWR"
"EIHYSSLX","J35022","1","NS","T0","B0","0120","ZVM4N7A-03","ANAV8.flitered","ANAV8","EIHYSSLX"
"XAPQDPMI","J35023","1","NS","T0","B0","0120","ZVM4N7A-6011","ANAV8.flitered","ANAV8","XAPQDPMI"
"WGAZLULF","J35024","1","NS","T0","B0","0120","ZVM4N7A-6012","ANAV8.flitered","ANAV8","WGAZLULF"
"GJGGXKMW","J35025","1","NS","T0","B0","0120","ZVM4N7A-6015","ANAV8.flitered","ANAV8","GJGGXKMW"
"BNFCZEFT","J35026","1","NS","T0","B0","0120","ZVM4N7A-6021","ANAV8.flitered","ANAV8","BNFCZEFT"
"ESDXIPFE","J35027","1","NS","T0","B0","0120","ZUG7QHE-03","B86HB.flitered","B86HB","ESDXIPFE"
"SJRVWVPA","J35028","1","NS","T0","B0","0120","ZVC4YUG-02","ANAV8.flitered","ANAV8","SJRVWVPA"
"TISOAZLL","J35029","1","NS","T0","B0","0120","ZYXQKWY-02","ANAV8.flitered","ANAV8","TISOAZLL"
"LWYNEAMQ","J35030","1","NS","T0","B0","0120","ZUL3S6O-6021","ANAV8.flitered","ANAV8","LWYNEAMQ"
"ETDVEXBZ","J35033","1","NS","T0","B0","0120","ZUF48YS-01","ANAV8.flitered","ANAV8","ETDVEXBZ"
"JNGDOGOX","J35034","1","NS","T0","B0","0120","ZUF48YS-02","ANAV8.flitered","ANAV8","JNGDOGOX"
"WMPZUFST","J35035","1","NS","T0","B0","0120","ZUC2YGO-1015","B86HB.flitered","B86HB","WMPZUFST"
"RERYKKXU","J35036","1","NS","T0","B0","0120","ZTXY83G-01","ANAV8.flitered","ANAV8","RERYKKXU"
"OKJFCCNT","J35037","1","NS","T0","B0","0120","ZTXWLP3-02","ANAV8.flitered","ANAV8","OKJFCCNT"
"TKCQBGTK","J35038","1","NS","T0","B0","0120","ZTUO1AO-01","ANAV8.flitered","ANAV8","TKCQBGTK"
"QTYHZISG","J35039","1","NS","T0","B0","0120","ZTTL3YH-01","ANAV8.flitered","ANAV8","QTYHZISG"
"QNNGHXEY","J35040","1","NS","T0","B0","0120","ZTMFN3O-01","ANAV8.flitered","ANAV8","QNNGHXEY"
"PPGRECLT","J35041","1","NS","T0","B0","0120","ZTLUDS8-01","ANAV8.flitered","ANAV8","PPGRECLT"
"AJMHBYRV","J35043","1","NS","T0","B0","0120","ZSOZWGV-01","ANAV8.flitered","ANAV8","AJMHBYRV"
"YTHGGQLU","J35044","1","NS","T0","B0","0120","ZLTUJTN-13","ANAV8.flitered","ANAV8","YTHGGQLU"
"TNRHUIFR","J35045","1","NS","T0","B0","0120","ZLPZS0H-09","ANAV8.flitered","ANAV8","TNRHUIFR"
"QTFHVXHN","J35046","1","NS","T0","B0","0120","ZLPZS0H-10","ANAV8.flitered","ANAV8","QTFHVXHN"
"RUIYFEYU","J35049","1","NS","T0","B0","0120","ZL9BTWF-10","ANAV8.flitered","ANAV8","RUIYFEYU"
"EIFRZXNJ","J35050","1","NS","T0","B0","0120","ZLTUJTN-11","APHU6.flitered","APHU6","EIFRZXNJ"
"YVQBVZTL","J35051","1","NS","T0","B0","0120","ZKVR426-09","ANAV8.flitered","ANAV8","YVQBVZTL"
"EDONXPLU","J35052","1","NS","T0","B0","0120","ZKVR426-2015","ANAV8.flitered","ANAV8","EDONXPLU"
"OWDKNELH","J35053","1","NS","T0","B0","0120","ZKFV71L-07","ANAV8.flitered","ANAV8","OWDKNELH"
"JTZEAKNO","J35054","1","NS","T0","B0","0120","ZKFV71L-08","ANAV8.flitered","ANAV8","JTZEAKNO"
"GSZYTJRE","J35055","1","NS","T0","B0","0120","ZK4CK8Y-07","ANAV8.flitered","ANAV8","GSZYTJRE"
"FXGYLSWE","J35056","1","NS","T0","B0","0120","ZK4CK8Y-08","ANAV8.flitered","ANAV8","FXGYLSWE"
"RUIGGETK","J35057","1","NS","T0","B0","0120","ZK4CK8Y-10","ANAV8.flitered","ANAV8","RUIGGETK"
"TBGGOTEU","J35059","1","NS","T0","B0","0120","ZJTKAE3-6011","ANAV8.flitered","ANAV8","TBGGOTEU"
"QNZDNZDX","J35060","1","NS","T0","B0","0120","ZJTKAE3-6013","ANAV8.flitered","ANAV8","QNZDNZDX"
"LIHAKSJC","J35061","1","NS","T0","B0","0120","ZJTKAE3-6014","ANAV8.flitered","ANAV8","LIHAKSJC"
"MDXCXJQB","J35062","1","NS","T0","B0","0120","ZJTKAE3-6015","ANAV8.flitered","ANAV8","MDXCXJQB"
"UOTVJJIG","J35063","1","NS","T0","B0","0120","ZJTKAE3-6016","ANAV8.flitered","ANAV8","UOTVJJIG"
"UULVHNJC","J35064","1","NS","T0","B0","0120","ZOZOW1T-6042","ANAY8.flitered","ANAY8","UULVHNJC"
"QILPQBRQ","J35065","1","NS","T0","B0","0120","ZOZOW1T-6043","ANAY8.flitered","ANAY8","QILPQBRQ"
"YPBZTYRP","J35066","1","NS","T0","B0","0120","ZOZOW1T-6044","AN6P4.flitered","AN6P4","YPBZTYRP"
"PLCTZUUF","J35067","1","NS","T0","B0","0120","ZOZOW1T-6045","ANAY8.flitered","ANAY8","PLCTZUUF"
"FLNZYLEL","J35068","1","NS","T0","B0","0120","ZOZOW1T-E11","AN6P4.flitered","AN6P4","FLNZYLEL"
"JZFYIEND","J35070","1","NS","T0","B0","0120","ZN3TBJM-2031","ANAY8.flitered","ANAY8","JZFYIEND"
"TKZZWFYY","J35071","1","NS","T0","B0","0120","ZN3TBJM-2032","ANAY8.flitered","ANAY8","TKZZWFYY"
"GNFHBLWM","J35072","1","NS","T0","B0","0120","ZN3TBJM-2033","ANAY8.flitered","ANAY8","GNFHBLWM"
"PJZFWQQB","J35073","1","NS","T0","B0","0120","ZN3TBJM-2035","ANAY8.flitered","ANAY8","PJZFWQQB"
"KSODSEVH","J35074","1","NS","T0","B0","0120","ZN3TBJM-2034","ANAY8.flitered","ANAY8","KSODSEVH"
"MVAOZIXW","J35075","1","NS","T0","B0","0120","ZN0JE53-09","ANAY8.flitered","ANAY8","MVAOZIXW"
"XLFNLYGA","J35079","1","NS","T0","B0","0120","ZMGT937-08","ANAV8.flitered","ANAV8","XLFNLYGA"
"XHRMAJDZ","J35081","1","NS","T0","B0","0120","ZLZQMEV-09","ANAY8.flitered","ANAY8","XHRMAJDZ"
"MPTYIFCT","J35082","1","NS","T0","B0","0120","ZLZNCLZ-10","ANAY8.flitered","ANAY8","MPTYIFCT"
"BIFWIIKN","J35083","1","NS","T0","B0","0120","ZYU89T9-07","ANAY8.flitered","ANAY8","BIFWIIKN"
"MVNHGOEY","J35084","1","NS","T0","B0","0120","ZYHHR4Z-2021","ANAV8.flitered","ANAV8","MVNHGOEY"
"DQBYZSXF","J35085","1","NS","T0","B0","0120","ZYHHR4Z-2022","ANAV8.flitered","ANAV8","DQBYZSXF"
"IDKPYYLP","J35086","1","NS","T0","B0","0120","ZYHHR4Z-2023","ANAV8.flitered","ANAV8","IDKPYYLP"
"PQSWYKNG","J35087","1","NS","T0","B0","0120","ZYHHR4Z-2025","ANAY8.flitered","ANAY8","PQSWYKNG"
"UXUQGCIF","J35088","1","NS","T0","B0","0120","ZX52KVK-2021","ANAV8.flitered","ANAV8","UXUQGCIF"
"TSMOANXJ","J35089","1","NS","T0","B0","0120","ZX52KVK-2022","ANAV8.flitered","ANAV8","TSMOANXJ"
"GBTQZBIR","J35090","1","NS","T0","B0","0120","ZX52KVK-2023","ANAV8.flitered","ANAV8","GBTQZBIR"
"UIZIEINJ","J35091","1","NS","T0","B0","0120","ZX52KVK-2025","ANAY8.flitered","ANAY8","UIZIEINJ"
"AKIVEEVS","J35093","1","NS","T0","B0","0120","ZWHMV5E-05","ANAV8.flitered","ANAV8","AKIVEEVS"
"PKWLBRMA","J35094","1","NS","T0","B0","0120","ZVNCGHM-6046","ANAY8.flitered","ANAY8","PKWLBRMA"
"HWBPMDEA","J35095","1","NS","T0","B0","0120","ZVM4N7A-6033","ANAV8.flitered","ANAV8","HWBPMDEA"
"CYLPNMTC","J35096","1","NS","T0","B0","0120","ZVM4N7A-6034","ANAV8.flitered","ANAV8","CYLPNMTC"
"HDQXUCQM","J35097","1","NS","T0","B0","0120","ZVM4N7A-6036","ANAY8.flitered","ANAY8","HDQXUCQM"
"NLBESAQU","J35098","1","NS","T0","B0","0120","ZVC4YUG-05","ANAY8.flitered","ANAY8","NLBESAQU"
"LLNGHNVO","J35099","1","NS","T0","B0","0120","ZYXQKWY-05","ANAY8.flitered","ANAY8","LLNGHNVO"
"NYMIZBIW","J35100","1","NS","T0","B0","0120","ZUL3S6O-2011","ANAV8.flitered","ANAV8","NYMIZBIW"
"SVILLSQQ","J35101","1","NS","T0","B0","0120","ZUL3S6O-2012","ANAV8.flitered","ANAV8","SVILLSQQ"
"FTSBBIQD","J35102","1","NS","T0","B0","0120","ZUL3S6O-2013","ANAY8.flitered","ANAY8","FTSBBIQD"
"DMLGJGGU","J35103","1","NS","T0","B0","0120","ZUHT69X-03","ANAY8.flitered","ANAY8","DMLGJGGU"
"TOIDGBXV","J35105","1","NS","T0","B0","0120","ZUF48YS-03","ANAY8.flitered","ANAY8","TOIDGBXV"
"QPZYMSEQ","J35107","1","NS","T0","B0","0120","ZTLUDS8-02","ANAY8.flitered","ANAY8","QPZYMSEQ"
"MXUJWKJP","J35109","1","NS","T0","B0","0120","ZSUQ08V-04","ANAV8.flitered","ANAV8","MXUJWKJP"
"GKEESPOL","J35110","1","NS","T0","B0","0120","ZSQNUZ5-02","ANAV8.flitered","ANAV8","GKEESPOL"
"XZNFNNFX","J35111","1","NS","T0","B0","0120","ZS78KHV-6012","ANAV8.flitered","ANAV8","XZNFNNFX"
"OLLVSODL","J35112","1","NS","T0","B0","0120","ZS78KHV-6013","ANAV8.flitered","ANAV8","OLLVSODL"
"AGQWBRBK","J35113","1","NS","T0","B0","0120","ZS78KHV-6016","ANAY8.flitered","ANAY8","AGQWBRBK"
"UPYLLFPS","J35114","1","NS","T0","B0","0120","ZS78KHV-6015","ANAY8.flitered","ANAY8","UPYLLFPS"
"GPSZZUFF","J35115","1","NS","T0","B0","0120","ZS2DMX7-02","ANAY8.flitered","ANAY8","GPSZZUFF"
"QDHDCASO","J35116","1","NS","T0","B0","0120","ZRB0F6P-6013","ANAY8.flitered","ANAY8","QDHDCASO"
"EEQGTLQV","J35118","1","NS","T0","B0","0120","ZRB0F6P-6015","ANAY8.flitered","ANAY8","EEQGTLQV"
"HLPYBWVI","J35119","1","NS","T0","B0","0120","ZRB0F6P-6016","ANAV8.flitered","ANAV8","HLPYBWVI"
"NXIXJIEM","J35120","1","NS","T0","B0","0120","ZRA5YD8-5011","ANAV8.flitered","ANAV8","NXIXJIEM"
"QVJZUTUC","J35121","1","NS","T0","B0","0120","ZRA5YD8-5012","ANAY8.flitered","ANAY8","QVJZUTUC"
"QRKEIWUT","J35122","1","NS","T0","B0","0120","ZR3WH7V-6012","ANAV8.flitered","ANAV8","QRKEIWUT"
"GEYENMMF","J35123","1","NS","T0","B0","0120","ZR3WH7V-6013","ANAV8.flitered","ANAV8","GEYENMMF"
"LLOQQMGZ","J35124","1","NS","T0","B0","0120","ZR3WH7V-6016","ANAY8.flitered","ANAY8","LLOQQMGZ"
"GULMPVOX","J35125","1","NS","T0","B0","0120","ZR3WH7V-6015","ANAY8.flitered","ANAY8","GULMPVOX"
"LAAHXBZG","J35126","1","NS","T0","B0","0120","ZQNZSQF-01","ANAV8.flitered","ANAV8","LAAHXBZG"
"QTAQJTGJ","J35127","1","NS","T0","B0","0120","ZQFL1P3-6011","ANAY8.flitered","ANAY8","QTAQJTGJ"
"FNTWIJRA","J35128","1","NS","T0","B0","0120","ZQFL1P3-6012","APHU6.flitered","APHU6","FNTWIJRA"
"FUSZXIHD","J35129","1","NS","T0","B0","0120","ZQFL1P3-6013","ANAY8.flitered","ANAY8","FUSZXIHD"
"CGPVBJBV","J35130","1","NS","T0","B0","0120","ZQFL1P3-6014","ANAY8.flitered","ANAY8","CGPVBJBV"
"ZMGTVOUB","J35131","1","NS","T0","B0","0120","ZPMBHPS-01","ANAY8.flitered","ANAY8","ZMGTVOUB"
"ZFHIJWVC","J35132","1","NS","T0","B0","0120","ZPJT5MY-01","ANAY8.flitered","ANAY8","ZFHIJWVC"
"PPMYCVSH","J35133","1","NS","T0","B0","0120","ZLTUJTN-2021","ANAY8.flitered","ANAY8","PPMYCVSH"
"CMBDHWPV","J35134","1","NS","T0","B0","0120","ZLTUJTN-2022","ANAY8.flitered","ANAY8","CMBDHWPV"
"NEKECEZF","J35135","1","NS","T0","B0","0120","ZLTUJTN-2023","ANAY8.flitered","ANAY8","NEKECEZF"
"OUPLHHWF","J35136","1","NS","T0","B0","0120","ZLTUJTN-2024","ANAY8.flitered","ANAY8","OUPLHHWF"
"XQXCTKJO","J35137","1","NS","T0","B0","0120","ZLPZS0H-12","ANAY8.flitered","ANAY8","XQXCTKJO"
"NTBBQIWZ","J35138","1","NS","T0","B0","0120","ZKVR426-11","ANAY8.flitered","ANAY8","NTBBQIWZ"
"QPHHWNTH","J35139","1","NS","T0","B0","0120","ZJTKAE3-6031","ANAY8.flitered","ANAY8","QPHHWNTH"
"KJBXTQWU","J35140","1","NS","T0","B0","0120","ZJTKAE3-6032","ANAY8.flitered","ANAY8","KJBXTQWU"
"YHCRLQYN","J35141","1","NS","T0","B0","0120","ZJTKAE3-6033","ANAY8.flitered","ANAY8","YHCRLQYN"
"STXYJMXK","J35142","1","NS","T0","B0","0120","ZJTKAE3-6034","ANAY8.flitered","ANAY8","STXYJMXK"
"HQXDXCAI","J35143","1","NS","T0","B0","0120","ZJTKAE3-6035","ANAY8.flitered","ANAY8","HQXDXCAI"
"UYSCEEEU","J35144","1","NS","T0","B0","0120","ZJTKAE3-6036","ANAY8.flitered","ANAY8","UYSCEEEU"
"CTBWOWRU","J35145","1","NS","T0","B0","0120","ZOZOW1T-1022","ANAY8.flitered","ANAY8","CTBWOWRU"
"HVORJTSR","J35146","1","NS","T0","B0","0120","ZOZOW1T-6036","ANAY8.flitered","ANAY8","HVORJTSR"
"OIPTOQWO","J35147","1","NS","T0","B0","0120","ZOZOW1T-6037","ANAY8.flitered","ANAY8","OIPTOQWO"
"XPEACLKU","J35148","1","NS","T0","B0","0120","ZOZOW1T-6041","ANAY8.flitered","ANAY8","XPEACLKU"
"JFWQPKMO","J35149","1","NS","T0","B0","0120","ZOZOW1T-6046","ANAY8.flitered","ANAY8","JFWQPKMO"
"NQLHCSAZ","J35150","1","NS","T0","B0","0120","ZOZOW1T-6047","ANAY8.flitered","ANAY8","NQLHCSAZ"
